Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Médiane du niveau vie (€),Part des ménages fiscaux imposés (%),Taux de pauvreté-Ensemble (%),Taux de pauvreté-moins de 30 ans (%),Taux de pauvreté-30 à 39 ans  (%),Taux de pauvreté-40 à 49 ans (%),Taux de pauvreté-50 à 59 ans (%),Taux de pauvreté-60 à 74 ans (%),Taux de pauvreté-75 ans ou plus (%),Taux de pauvreté-propriétaires (%),Taux de pauvreté-locataires (%),Part des revenus d'activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%),1er décile du niveau de vie (€),9e décile du niveau de vie (€),Rapport interdécile 9e décile/1er décile
CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
70032,Attricourt,,,,,,,,,,,,,,,,,,,,,,,,,,,
70035,Augicourt,72,170,18184,,,,,,,,,,,,,,,,,,,,,,,,
70036,Aulx-lès-Cromary,70,161,22168,,,,,,,,,,,,,,,,,,,,,,,,
70037,Autet,131,281,19611,,,,,,,,,,,,,,,,,,,,,,,,
70038,Authoison,135,341,21346,,,,,,,,,,,,,,,,,,,,,,,,
70039,Autoreille,137,344,19868,,,,,,,,,,,,,,,,,,,,,,,,
70040,Autrey-lès-Cerre,88,230,20000,,,,,,,,,,,,,,,,,,,,,,,,
70041,Autrey-lès-Gray,180,381,19933,,,,,,,,,,,,,,,,,,,,,,,,
70042,Autrey-le-Vay,,,,,,,,,,,,,,,,,,,,,,,,,,,
70043,Auvet-et-la-Chapelotte,107,252,19946,,,,,,,,,,,,,,,,,,,,,,,,
70044,Auxon,178,414,22008,,,,,,,,,,,,,,,,,,,,,,,,
70045,Avrigney-Virey,174,417,21595,,,,,,,,,,,,,,,,,,,,,,,,
70046,Les Aynans,143,364,19295,,,,,,,,,,,,,,,,,,,,,,,,
70047,Baignes,41,111,20359,,,,,,,,,,,,,,,,,,,,,,,,
70048,Bard-lès-Pesmes,58,127,21373,,,,,,,,,,,,,,,,,,,,,,,,
70049,Barges,,,,,,,,,,,,,,,,,,,,,,,,,,,
70050,La Barre,,,,,,,,,,,,,,,,,,,,,,,,,,,
70051,La Basse-Vaivre,,,,,,,,,,,,,,,,,,,,,,,,,,,
70052,Bassigney,58,123,19679,,,,,,,,,,,,,,,,,,,,,,,,
70053,Les Bâties,,,,,,,,,,,,,,,,,,,,,,,,,,,
70054,Battrans,97,243,20915,,,,,,,,,,,,,,,,,,,,,,,,
70055,Baudoncourt,219,534,18953,,,,,,,,,,,,,,,,,,,,,,,,
70056,Baulay,143,317,18772,,,,,,,,,,,,,,,,,,,,,,,,
70057,Bay,52,146,19113,,,,,,,,,,,,,,,,,,,,,,,,
70058,Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur,376,914,19315,,,,,,,,,,,,,,,,,,,,,,,,
70059,Beaumotte-Aubertans,178,446,21334,,,,,,,,,,,,,,,,,,,,,,,,
70060,Beaumotte-lès-Pin,123,295,21836,,,,,,,,,,,,,,,,,,,,,,,,
70061,Belfahy,,,,,,,,,,,,,,,,,,,,,,,,,,,
70062,Belmont,55,136,20037,,,,,,,,,,,,,,,,,,,,,,,,
70063,Belonchamp,96,222,18551,,,,,,,,,,,,,,,,,,,,,,,,
70064,Belverne,59,139,20162,,,,,,,,,,,,,,,,,,,,,,,,
70065,Besnans,,,,,,,,,,,,,,,,,,,,,,,,,,,
70066,Betaucourt,72,162,18528,,,,,,,,,,,,,,,,,,,,,,,,
70067,Betoncourt-lès-Brotte,47,118,19980,,,,,,,,,,,,,,,,,,,,,,,,
70069,Betoncourt-Saint-Pancras,,,,,,,,,,,,,,,,,,,,,,,,,,,
70070,Betoncourt-sur-Mance,,,,,,,,,,,,,,,,,,,,,,,,,,,
70071,Beulotte-Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,
70072,Beveuge,,,,,,,,,,,,,,,,,,,,,,,,,,,
70074,Blondefontaine,117,258,17734,,,,,,,,,,,,,,,,,,,,,,,,
70075,Bonboillon,70,192,20341,,,,,,,,,,,,,,,,,,,,,,,,
70076,Bonnevent-Velloreille,148,372,21638,,,,,,,,,,,,,,,,,,,,,,,,
70077,Borey,104,231,19845,,,,,,,,,,,,,,,,,,,,,,,,
70078,Bougey,,,,,,,,,,,,,,,,,,,,,,,,,,,
70079,Bougnon,212,540,22013,,,,,,,,,,,,,,,,,,,,,,,,
70080,Bouhans-et-Feurg,112,254,21645,,,,,,,,,,,,,,,,,,,,,,,,
70081,Bouhans-lès-Lure,125,313,17977,,,,,,,,,,,,,,,,,,,,,,,,
70082,Bouhans-lès-Montbozon,45,111,19662,,,,,,,,,,,,,,,,,,,,,,,,
70083,Bouligney,183,427,18621,,,,,,,,,,,,,,,,,,,,,,,,
70084,Boulot,267,686,22211,,,,,,,,,,,,,,,,,,,,,,,,
70085,Boult,247,611,20358,,,,,,,,,,,,,,,,,,,,,,,,
70086,Bourbévelle,,,,,,,,,,,,,,,,,,,,,,,,,,,
70087,Bourguignon-lès-Conflans,56,145,20625,,,,,,,,,,,,,,,,,,,,,,,,
70088,Bourguignon-lès-la-Charité,46,104,18588,,,,,,,,,,,,,,,,,,,,,,,,
70089,Bourguignon-lès-Morey,,,,,,,,,,,,,,,,,,,,,,,,,,,
70090,Boursières,,,,,,,,,,,,,,,,,,,,,,,,,,,
70091,Bousseraucourt,,,,,,,,,,,,,,,,,,,,,,,,,,,
70092,Bresilley,79,180,21600,,,,,,,,,,,,,,,,,,,,,,,,
70093,Breuches,321,683,18997,,,,,,,,,,,,,,,,,,,,,,,,
70094,Breuchotte,131,287,18407,,,,,,,,,,,,,,,,,,,,,,,,
70095,Breurey-lès-Faverney,233,604,20506,,,,,,,,,,,,,,,,,,,,,,,,
70096,Brevilliers,260,636,21555,,,,,,,,,,,,,,,,,,,,,,,,
70097,Briaucourt,108,246,20063,,,,,,,,,,,,,,,,,,,,,,,,
70098,Brotte-lès-Luxeuil,94,221,18661,,,,,,,,,,,,,,,,,,,,,,,,
70099,Brotte-lès-Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,
70100,Broye-les-Loups-et-Verfontaine,39,113,15056,,,,,,,,,,,,,,,,,,,,,,,,
70101,Broye-Aubigney-Montseugny,234,496,20839,,,,,,,,,,,,,,,,,,,,,,,,
70102,Brussey,111,263,21154,,,,,,,,,,,,,,,,,,,,,,,,
70103,La Bruyère,85,209,18082,,,,,,,,,,,,,,,,,,,,,,,,
70104,Bucey-lès-Gy,271,610,20090,,,,,,,,,,,,,,,,,,,,,,,,
70105,Bucey-lès-Traves,57,122,21630,,,,,,,,,,,,,,,,,,,,,,,,
70106,Buffignécourt,53,122,21296,,,,,,,,,,,,,,,,,,,,,,,,
70107,Bussières,165,421,23192,,,,,,,,,,,,,,,,,,,,,,,,
70109,Buthiers,127,310,23879,,,,,,,,,,,,,,,,,,,,,,,,
70111,Calmoutier,110,269,20272,,,,,,,,,,,,,,,,,,,,,,,,
70112,Cemboing,90,166,17279,,,,,,,,,,,,,,,,,,,,,,,,
70113,Cenans,63,133,19358,,,,,,,,,,,,,,,,,,,,,,,,
70114,Cendrecourt,99,222,18555,,,,,,,,,,,,,,,,,,,,,,,,
70115,Cerre-lès-Noroy,92,233,21890,,,,,,,,,,,,,,,,,,,,,,,,
70116,Chagey,276,631,21178,,,,,,,,,,,,,,,,,,,,,,,,
70117,Châlonvillars,491,1259,24177,,,,,,,,,,,,,,,,,,,,,,,,
70118,Chambornay-lès-Bellevaux,79,191,21834,,,,,,,,,,,,,,,,,,,,,,,,
70119,Chambornay-lès-Pin,163,375,21228,,,,,,,,,,,,,,,,,,,,,,,,
70120,Champagney,1595,3842,20157,45,11,,,,,,,8,,72.1,65.2,3.4,3.4,30.8,4.9,5.0,2.5,1.5,1.0,-12.8,12304,30912,2.5
70121,Champey,351,881,21621,,,,,,,,,,,,,,,,,,,,,,,,
70122,Champlitte,742,1598,18968,,,,,,,,,,,,,,,,,,,,,,,,
70124,Champtonnay,,,,,,,,,,,,,,,,,,,,,,,,,,,
70125,Champvans,80,192,20266,,,,,,,,,,,,,,,,,,,,,,,,
70126,Chancey,71,178,20233,,,,,,,,,,,,,,,,,,,,,,,,
70127,Chantes,54,113,19025,,,,,,,,,,,,,,,,,,,,,,,,
70128,La Chapelle-lès-Luxeuil,163,400,18651,,,,,,,,,,,,,,,,,,,,,,,,
70129,La Chapelle-Saint-Quillain,61,150,19335,,,,,,,,,,,,,,,,,,,,,,,,
70130,Charcenne,146,343,21038,,,,,,,,,,,,,,,,,,,,,,,,
70132,Chargey-lès-Gray,277,690,20735,,,,,,,,,,,,,,,,,,,,,,,,
70133,Chargey-lès-Port,101,238,18020,,,,,,,,,,,,,,,,,,,,,,,,
70134,Chariez,90,206,20007,,,,,,,,,,,,,,,,,,,,,,,,
70135,Charmes-Saint-Valbert,,,,,,,,,,,,,,,,,,,,,,,,,,,
70136,Charmoille,195,496,21857,,,,,,,,,,,,,,,,,,,,,,,,
70137,Chassey-lès-Montbozon,106,222,18913,,,,,,,,,,,,,,,,,,,,,,,,
70138,Chassey-lès-Scey,49,129,19479,,,,,,,,,,,,,,,,,,,,,,,,
70140,Châteney,,,,,,,,,,,,,,,,,,,,,,,,,,,
70141,Châtenois,51,121,19531,,,,,,,,,,,,,,,,,,,,,,,,
70142,Chaumercenne,81,184,22026,,,,,,,,,,,,,,,,,,,,,,,,
70143,Chauvirey-le-Châtel,54,119,15577,,,,,,,,,,,,,,,,,,,,,,,,
70144,Chauvirey-le-Vieil,,,,,,,,,,,,,,,,,,,,,,,,,,,
70145,Chaux-la-Lotière,170,439,22771,,,,,,,,,,,,,,,,,,,,,,,,
70146,Chaux-lès-Port,73,171,20458,,,,,,,,,,,,,,,,,,,,,,,,
70147,Chavanne,92,241,21857,,,,,,,,,,,,,,,,,,,,,,,,
70148,Chemilly,,,,,,,,,,,,,,,,,,,,,,,,,,,
70149,Chenebier,287,717,23263,,,,,,,,,,,,,,,,,,,,,,,,
70150,Chenevrey-et-Morogne,118,290,21131,,,,,,,,,,,,,,,,,,,,,,,,
70151,Chevigney,,,,,,,,,,,,,,,,,,,,,,,,,,,
70152,Choye,187,450,20633,,,,,,,,,,,,,,,,,,,,,,,,
70153,Cintrey,59,106,19901,,,,,,,,,,,,,,,,,,,,,,,,
70154,Cirey,134,330,20077,,,,,,,,,,,,,,,,,,,,,,,,
70155,Citers,322,800,20099,,,,,,,,,,,,,,,,,,,,,,,,
70156,Citey,46,109,20879,,,,,,,,,,,,,,,,,,,,,,,,
70157,Clairegoutte,156,364,20459,,,,,,,,,,,,,,,,,,,,,,,,
70158,Clans,,,,,,,,,,,,,,,,,,,,,,,,,,,
70159,Cognières,,,,,,,,,,,,,,,,,,,,,,,,,,,
70160,Coisevaux,130,336,22958,,,,,,,,,,,,,,,,,,,,,,,,
70162,Colombe-lès-Vesoul,199,458,23752,,,,,,,,,,,,,,,,,,,,,,,,
70163,Colombier,182,454,20815,,,,,,,,,,,,,,,,,,,,,,,,
70164,Colombotte,,,,,,,,,,,,,,,,,,,,,,,,,,,
70165,Combeaufontaine,245,547,18768,,,,,,,,,,,,,,,,,,,,,,,,
70166,Comberjon,73,168,20647,,,,,,,,,,,,,,,,,,,,,,,,
70167,Conflandey,162,367,20819,,,,,,,,,,,,,,,,,,,,,,,,
70168,Conflans-sur-Lanterne,291,615,19516,,,,,,,,,,,,,,,,,,,,,,,,
70169,Confracourt,84,208,18978,,,,,,,,,,,,,,,,,,,,,,,,
70170,Contréglise,47,115,20690,,,,,,,,,,,,,,,,,,,,,,,,
70171,Corbenay,531,1289,18182,,,,,,,,,,,,,,,,,,,,,,,,
70172,La Corbière,43,105,19970,,,,,,,,,,,,,,,,,,,,,,,,
70174,Cordonnet,53,138,22232,,,,,,,,,,,,,,,,,,,,,,,,
70175,Cornot,65,150,17991,,,,,,,,,,,,,,,,,,,,,,,,
70176,Corravillers,87,178,17500,,,,,,,,,,,,,,,,,,,,,,,,
70177,Corre,264,573,18647,,,,,,,,,,,,,,,,,,,,,,,,
70178,La Côte,228,522,19511,,,,,,,,,,,,,,,,,,,,,,,,
70179,Coulevon,85,181,22895,,,,,,,,,,,,,,,,,,,,,,,,
70180,Courchaton,187,431,19883,,,,,,,,,,,,,,,,,,,,,,,,
70181,Courcuire,49,122,19715,,,,,,,,,,,,,,,,,,,,,,,,
70182,Courmont,50,137,22137,,,,,,,,,,,,,,,,,,,,,,,,
70183,Courtesoult-et-Gatey,,,,,,,,,,,,,,,,,,,,,,,,,,,
70184,Couthenans,301,707,22342,,,,,,,,,,,,,,,,,,,,,,,,
70185,Cresancey,76,170,18047,,,,,,,,,,,,,,,,,,,,,,,,
70186,La Creuse,,,,,,,,,,,,,,,,,,,,,,,,,,,
70187,Crevans-et-la-Chapelle-lès-Granges,107,250,19779,,,,,,,,,,,,,,,,,,,,,,,,
70188,Creveney,,,,,,,,,,,,,,,,,,,,,,,,,,,
70189,Cromary,103,261,21923,,,,,,,,,,,,,,,,,,,,,,,,
70190,Cubry-lès-Faverney,69,178,21967,,,,,,,,,,,,,,,,,,,,,,,,
70192,Cugney,79,191,21126,,,,,,,,,,,,,,,,,,,,,,,,
70193,Cult,87,237,20597,,,,,,,,,,,,,,,,,,,,,,,,
70194,Cuve,56,134,19553,,,,,,,,,,,,,,,,,,,,,,,,
70195,Dambenoît-lès-Colombe,108,256,18349,,,,,,,,,,,,,,,,,,,,,,,,
70196,Dampierre-lès-Conflans,110,261,20401,,,,,,,,,,,,,,,,,,,,,,,,
70197,Dampierre-sur-Linotte,313,817,20058,,,,,,,,,,,,,,,,,,,,,,,,
70198,Dampierre-sur-Salon,534,1162,20507,,,,,,,,,,,,,,,,,,,,,,,,
70199,Dampvalley-lès-Colombe,48,116,21305,,,,,,,,,,,,,,,,,,,,,,,,
70200,Dampvalley-Saint-Pancras,,,,,,,,,,,,,,,,,,,,,,,,,,,
70201,Delain,94,219,19537,,,,,,,,,,,,,,,,,,,,,,,,
70202,Demangevelle,138,282,19358,,,,,,,,,,,,,,,,,,,,,,,,
70203,La Demie,57,143,22735,,,,,,,,,,,,,,,,,,,,,,,,
70204,Denèvre,64,169,19200,,,,,,,,,,,,,,,,,,,,,,,,
70205,Échavanne,93,213,20764,,,,,,,,,,,,,,,,,,,,,,,,
70206,Échenans-sous-Mont-Vaudois,211,553,23923,,,,,,,,,,,,,,,,,,,,,,,,
70207,Échenoz-la-Méline,1457,3284,21252,55,10,,,,,,,,24,72.0,64.1,2.4,5.5,30.5,8.4,5.0,2.1,1.6,1.3,-15.9,12446,35235,2.8
70208,Échenoz-le-Sec,131,305,22001,,,,,,,,,,,,,,,,,,,,,,,,
70210,Écromagny,68,145,20823,,,,,,,,,,,,,,,,,,,,,,,,
70211,Écuelle,,,,,,,,,,,,,,,,,,,,,,,,,,,
70213,Éhuns,98,220,19682,,,,,,,,,,,,,,,,,,,,,,,,
70214,Équevilley,62,133,20983,,,,,,,,,,,,,,,,,,,,,,,,
70215,Errevet,102,248,26239,,,,,,,,,,,,,,,,,,,,,,,,
70216,Esboz-Brest,189,497,20194,,,,,,,,,,,,,,,,,,,,,,,,
70217,Esmoulières,,,,,,,,,,,,,,,,,,,,,,,,,,,
70218,Esmoulins,54,136,22225,,,,,,,,,,,,,,,,,,,,,,,,
70219,Esprels,305,723,19056,,,,,,,,,,,,,,,,,,,,,,,,
70220,Essertenne-et-Cecey,178,425,20255,,,,,,,,,,,,,,,,,,,,,,,,
70221,Étobon,127,299,22564,,,,,,,,,,,,,,,,,,,,,,,,
70222,Étrelles-et-la-Montbleuse,,,,,,,,,,,,,,,,,,,,,,,,,,,
70224,Étuz,277,667,23375,,,,,,,,,,,,,,,,,,,,,,,,
70225,Fahy-lès-Autrey,45,108,22882,,,,,,,,,,,,,,,,,,,,,,,,
70226,Fallon,133,299,19449,,,,,,,,,,,,,,,,,,,,,,,,
70227,Faucogney-et-la-Mer,232,470,17101,,,,,,,,,,,,,,,,,,,,,,,,
70228,Faverney,422,947,18982,,,,,,,,,,,,,,,,,,,,,,,,
70229,Faymont,112,257,20624,,,,,,,,,,,,,,,,,,,,,,,,
70230,Fédry,52,93,18343,,,,,,,,,,,,,,,,,,,,,,,,
70231,Ferrières-lès-Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,
70232,Ferrières-lès-Scey,49,124,19759,,,,,,,,,,,,,,,,,,,,,,,,
70233,Les Fessey,57,139,19201,,,,,,,,,,,,,,,,,,,,,,,,
70234,Filain,92,219,19437,,,,,,,,,,,,,,,,,,,,,,,,
70235,Flagy,63,156,18393,,,,,,,,,,,,,,,,,,,,,,,,
